Donor Potential,Donor Name,Demographic,Region,State or Province,City,Postal Code,Donation Date,Donation Amount
Hi,Rachel Casey,Middle Class,South,Kentucky,Henderson,42420,1/1/2013,151.6
Hi,Gene Gilliam,Upper-Middle Class,South,Georgia,Atlanta,30318,1/3/2013,232.42
Not Specified,Joan Floyd,Middle Class,South,Mississippi,Gulfport,39503,1/3/2013,1057.62
Med,Sidney Gilliam,Upper-Middle Class,South,Florida,Riverview,33569,1/5/2013,328.5
Lo,Ken H Frazier,Middle Class,South,Virginia,Oakton,22124,1/9/2013,82.78
Not Specified,Marion Jordan,Upper-Middle Class,South,Tennessee,Lebanon,37087,1/9/2013,3772.71
Med,Jon Ayers,Middle Class,South,Florida,Palm Coast,32137,1/13/2013,37.6
Med,Julian Keith Mayer,Upper Class,South,Florida,Sanford,32771,1/13/2013,1020.2
Not Specified,Andrew Gonzalez,Middle Class,South,North Carolina,Charlotte,28206,1/13/2013,759.6
Not Specified,Valerie Siegel,Middle Class,South,Georgia,Woodstock,30188,1/15/2013,417.11
Med,Renee Ellington,Middle Class,South,Mississippi,Jackson,39212,1/16/2013,5.73
Hi,Marc Browning,Upper-Middle Class,South,Florida,Pompano Beach,33068,1/17/2013,425.3
Med,Tracy Dyer,Middle Class,South,South Carolina,Mount Pleasant,29464,1/18/2013,389.97
Not Specified,Monica Law Thompson,Upper Class,South,Arkansas,Texarkana,71854,1/18/2013,667.3
Hi,Vincent Daniel,Upper Class,South,Florida,Fruit Cove,32259,1/19/2013,8.49
Hi,Wallace Bridges,Middle Class,South,North Carolina,Burlington,27217,1/19/2013,139.39
Hi,Joan Beach,Middle Class,South,Alabama,Mobile,36608,1/20/2013,1009.93
Hi,Gordon Walker,Middle Class,South,Arkansas,Cabot,72023,1/21/2013,42.69
Hi,Michelle Bryant Phillips,Upper-Middle Class,South,Georgia,Tucker,30084,1/21/2013,57.26
Med,James Craft,Upper-Middle Class,South,Georgia,Smyrna,30080,1/21/2013,3047.57
Not Specified,Teresa B Schroeder,Middle Class,South,Florida,Spring Hill,34609,1/22/2013,520.47
Hi,Maureen Tanner,Upper Class,South,Louisiana,New Orleans,70117,1/23/2013,8.84
Lo,Sylvia Kumar,Upper Class,South,Kentucky,Pleasure Ridge Park,40258,1/25/2013,22.01
Hi,Paige Mason,Upper Class,South,Virginia,Norfolk,23518,1/26/2013,421.18
Hi,Caroline Morton,Upper Class,South,Florida,Miami,33178,1/27/2013,293.38
Hi,LeRoy Welch,Middle Class,South,North Carolina,Greenville,27834,1/27/2013,53.11
Lo,Roger Hopkins,Upper Class,South,Arkansas,Conway,72032,1/28/2013,10.62
Hi,Jon Ayers,Middle Class,South,Florida,Palm Coast,32137,1/30/2013,28.22
Hi,Francis Sherrill,Middle Class,South,North Carolina,Asheville,28806,1/31/2013,172.19
Hi,Earl Donnelly,Upper-Middle Class,South,Louisiana,Slidell,70458,2/1/2013,47.12
Hi,Francis Sherrill,Middle Class,South,North Carolina,Asheville,28806,2/2/2013,11.41
Med,Marshall Brandt Briggs,Upper Class,South,Tennessee,Maryville,37804,2/2/2013,28.73
Hi,Monica McCormick,Upper Class,South,North Carolina,Albemarle,28001,2/3/2013,461.94
Med,Jimmy Boswell,Middle Class,South,Alabama,Florence,35630,2/3/2013,3835.19
Not Specified,Billy Bullock,Middle Class,South,Kentucky,Danville,40422,2/4/2013,326.75
Hi,Danny Richmond,Upper Class,South,Florida,Miami,33142,2/6/2013,45.4
Lo,Juan Gold,Middle Class,South,Florida,Pensacola,32503,2/7/2013,59.49
Med,Kim Weiss,Middle Class,South,Florida,Miami,33132,2/7/2013,11938.4
Hi,Bradley Schroeder,Upper-Middle Class,South,Alabama,Auburn,36830,2/9/2013,24.18
Hi,Kyle Fink,Middle Class,South,Virginia,Petersburg,23805,2/9/2013,337.24
Lo,Lisa Roberson,Middle Class,South,Florida,Poinciana,34759,2/9/2013,43.21
Hi,Sheryl Alexander,Upper-Middle Class,South,Virginia,Colonial Heights,23834,2/10/2013,1146.03
Hi,Kevin Wolfe,Middle Class,South,Georgia,East Point,30344,2/11/2013,36.61
Lo,Sam Rouse,Upper-Middle Class,South,Georgia,Forest Park,30297,2/11/2013,19.54
Hi,Gary Hoffman,Upper Class,South,Florida,Land O Lakes,34639,2/12/2013,34.36
Med,Lee Xu,Middle Class,South,Alabama,Madison,35756,2/13/2013,1659.17
Med,Leslie Woodard,Middle Class,South,South Carolina,Charleston,29418,2/16/2013,165.44
Hi,Bonnie Matthews Rowland,Upper Class,South,Florida,Miami,33916,2/17/2013,277.24
Med,Jimmy Boswell,Middle Class,South,Alabama,Florence,35630,2/17/2013,24.64
Hi,Glenda Rosen,Upper-Middle Class,South,Tennessee,La Vergne,37086,2/20/2013,341.74
Lo,Martin Heath,Upper Class,South,South Carolina,Charleston,29418,2/21/2013,200.29
Not Specified,Matthew Welsh,Upper Class,South,Georgia,Dalton,30721,2/21/2013,347.86
Med,Rick Ellis,Middle Class,South,Virginia,Springfield,22153,2/22/2013,82.52
Not Specified,Jennifer Zimmerman,Upper Class,South,Arkansas,Jonesboro,72401,2/23/2013,831.01
Hi,Courtney Boyd,Upper Class,South,Virginia,Fairfax,20151,2/24/2013,6.66
Lo,Theresa Stephens,Upper Class,South,Arkansas,Fayetteville,72701,2/25/2013,758.26
Med,Sheryl Alexander,Upper-Middle Class,South,Virginia,Colonial Heights,23834,2/26/2013,167.25
Hi,Edna Pierce,Upper Class,South,North Carolina,Goldsboro,27534,2/27/2013,151.85
Med,Natalie Aldridge,Middle Class,South,Florida,Merritt Island,32953,2/28/2013,116.68
Lo,Albert Tyson,Middle Class,South,Mississippi,Olive Branch,38654,3/1/2013,3.3
Not Specified,William Pace,Upper Class,South,Arkansas,Hot Springs,71901,3/3/2013,25.95
Hi,Alison Starr,Middle Class,South,North Carolina,Cornelius,28031,3/4/2013,8.08
